
0.01906898 	-0.04150308 	-0.01233875 	0.00224341 	

0.3779645 	0.3779645 	-0.7559289 	-0.3779645 	
-0.221187 	0.08847479 	-0.4866114 	0.8405105 	
0.8038239 	0.2854961 	0.3520194 	0.3852811 	
0.4025995 	-0.876246 	-0.2605056 	0.04736465 	

8.5 	-18.5 	-5.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-1 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

1 	1 	-2 	-0 	
-1.166667 	-0.1666667 	-0.6666667 	-1 	
1.352941 	0.7647059 	1.058824 	-2.411765 	
-0.06289308 	0.1383648 	0.03773585 	0.02515723 	

0.4082483 	0.4082483 	-0.8164966 	-0 	
-0.6931033 	-0.09901475 	-0.396059 	-0.5940885 	
0.4423895 	0.2500462 	0.3462179 	-0.7886074 	
-0.3965258 	0.8723567 	0.2379155 	0.1586103 	

-2.5 	5.5 	1.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-0 	
5 	2 	1 	-1 	
0 	0 	0 	1 	

1 	1 	-2 	-0 	
-1.166667 	-0.1666667 	-0.6666667 	0 	
-0.1818182 	0.5454545 	0.1818182 	-1 	
-0.1333333 	0.4 	0.1333333 	0.2666667 	

0.4082483 	0.4082483 	-0.8164966 	-0 	
-0.8616404 	-0.1230915 	-0.492366 	0 	
-0.1556998 	0.4670994 	0.1556998 	-0.8563488 	
-0.2581989 	0.7745967 	0.2581989 	0.5163978 	

-0.5 	1.5 	0.5 	1 	
8.5 	-2.5 	-0.5 	
-18.5 	5.5 	1.5 	
-5.5 	1.5 	0.5 	

1 	-1.7752e-12 	3.5835e-12 	
3.1601e-12 	1 	-6.694e-12 	
1.2332e-12 	1.2821e-12 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

3 	1 	-1 	1 	
-4.7962e-14 	-1.0303e-13 	-1.0303e-13 	
eps= 1.533954e-13
1 	1 	-2 	-1 	
2 	3 	-7 	-0 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

8.5 	-18.5 	-5.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-1 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

-2.5 	5.5 	1.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-0 	
5 	2 	1 	-1 	
0 	0 	0 	1 	

-0.5 	1.5 	0.5 	1 	
8.5 	-2.5 	-0.5 	
-18.5 	5.5 	1.5 	
-5.5 	1.5 	0.5 	

1 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	1 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

3 	1 	-1 	1 	
-4.7962e-14 	-1.0303e-13 	-1.0303e-13 	
eps= 1.533954e-13
1 	1 	-2 	-1 	
2 	3 	-7 	-0 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

8.5 	-18.5 	-5.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-1 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

-2.5 	5.5 	1.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-0 	
5 	2 	1 	-1 	
0 	0 	0 	1 	

-0.5 	1.5 	0.5 	1 	
8.5 	-2.5 	-0.5 	
-18.5 	5.5 	1.5 	
-5.5 	1.5 	0.5 	

1 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	1 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	1 	

-4.1922e-13 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	-5.4179e-13 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	-6.0618e-14 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

3 	1 	-1 	1 	
-4.7962e-14 	-1.0303e-13 	-1.0303e-13 	
eps= 1.533954e-13
1 	1 	-2 	-1 	
2 	3 	-7 	-0 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

8.5 	-18.5 	-5.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-1 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

-2.5 	5.5 	1.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-0 	
5 	2 	1 	-1 	
0 	0 	0 	1 	

-0.5 	1.5 	0.5 	1 	
8.5 	-2.5 	-0.5 	
-18.5 	5.5 	1.5 	
-5.5 	1.5 	0.5 	

1 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	1 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	1 	

eps= 1.128934e-12
-4.1922e-13 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	-5.4179e-13 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	-6.0618e-14 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

3 	1 	-1 	1 	
-4.7962e-14 	-1.0303e-13 	-1.0303e-13 	
eps= 1.533954e-13
1 	1 	-2 	-1 	
2 	3 	-7 	-0 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

8.5 	-18.5 	-5.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-1 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

-2.5 	5.5 	1.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-0 	
5 	2 	1 	-1 	
0 	0 	0 	1 	

-0.5 	1.5 	0.5 	1 	
8.5 	-2.5 	-0.5 	
-18.5 	5.5 	1.5 	
-5.5 	1.5 	0.5 	

1 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	1 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	1 	

eps= 1.128934e-12
-4.1922e-13 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	-5.4179e-13 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	-6.0618e-14 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

1 	1 	-2 	-6 	
2 	3 	-7 	-16 	
5 	2 	1 	-16 	
0 	0 	0 	1 	

3 	1 	-1 	1 	
-4.7962e-14 	-1.0303e-13 	-1.0303e-13 	
eps= 1.533954e-13
1 	1 	-2 	-1 	
2 	3 	-7 	-0 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

8.5 	-18.5 	-5.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-1 	
5 	2 	1 	-0 	
0 	0 	0 	1 	

-2.5 	5.5 	1.5 	1 	
1 	1 	-2 	-0 	
2 	3 	-7 	-0 	
5 	2 	1 	-1 	
0 	0 	0 	1 	

-0.5 	1.5 	0.5 	1 	
8.5 	-2.5 	-0.5 	
-18.5 	5.5 	1.5 	
-5.5 	1.5 	0.5 	

eps= 1.128934e-12
-4.1922e-13 	-1.8119e-13 	-4.8517e-14 	
-7.6028e-13 	-5.4179e-13 	-1.4833e-13 	
-3.6504e-13 	-1.8185e-13 	-6.0618e-14 	
